Gene,Description,log2FC,mean_Ctrl,mean_NE,pvalue,padj,-log10padj,Direction,Significant
PROT_0105,Uncharacterized protein 105,-6.070966475059414,25.82642121547544,19.755454740416024,0.0005264406370691296,0.10370520974125846,0.9841994258187831,Down,True
PROT_0016,Uncharacterized protein 16,-0.4230007550919943,27.103935712079195,26.6809349569872,0.0006259871815367713,0.10370520974125846,0.9841994258187831,NS,False
PROT_0101,Uncharacterized protein 101,8.5032650014134,18.502212617196136,27.005477618609536,0.00030256586398825055,0.10370520974125846,0.9841994258187831,Up,True
PROT_0032,Uncharacterized protein 32,0.6201908742632725,19.829925155539744,20.450116029803016,0.0031592503885115564,0.3140294886180487,0.5030295680325921,NS,False
CD86,T-lymphocyte activation antigen CD86,1.8908982278701778,25.111043287777335,27.001941515647513,0.002647798956332965,0.3140294886180487,0.5030295680325921,Up,True
PROT_0152,Uncharacterized protein 152,9.78765615805628,18.821062462454062,28.60871862051034,0.004626538156989932,0.3832315773373327,0.4165387133243204,Up,True
PROT_0383,Uncharacterized protein 383,-1.1951407928510207,23.967677226588005,22.772536433736985,0.01231640679149013,0.40242312216600273,0.39531707382536296,Down,True
CD14,Monocyte differentiation antigen CD14,1.5307135970220855,24.25462116339085,25.785334760412937,0.010718717473373095,0.40242312216600273,0.39531707382536296,Up,True
PROT_0379,Uncharacterized protein 379,0.9478443774445751,24.577200124974812,25.525044502419387,0.006762998249434984,0.40242312216600273,0.39531707382536296,NS,False
PROT_0121,Uncharacterized protein 121,0.9873129067684729,22.388960173612336,23.37627308038081,0.009167893166663653,0.40242312216600273,0.39531707382536296,NS,False
PROT_0063,Uncharacterized protein 63,0.7679054381279933,27.385512628796025,28.15341806692402,0.012194446339819765,0.40242312216600273,0.39531707382536296,NS,False
PROT_0406,Uncharacterized protein 406,-1.2023134851935886,26.067216176101727,24.86490269090814,0.00674959019266435,0.40242312216600273,0.39531707382536296,Down,True
PROT_0046,Uncharacterized protein 46,-1.0166188592677265,22.848782885166333,21.832164025898606,0.0110319474554226,0.40242312216600273,0.39531707382536296,Down,True
S100A8,Protein S100-A8,2.9702644546549664,20.674466366949066,23.644730821604032,0.013624918340191748,0.40242312216600273,0.39531707382536296,Up,True
PTPRC,Receptor-type tyrosine-protein phosphatase C,1.3413575238970346,21.834125285566756,23.17548280946379,0.007604267254924732,0.40242312216600273,0.39531707382536296,Up,True
ITGAM,Integrin subunit alpha M (CD11b),2.8486811463272836,17.382715298007632,20.231396444334916,0.009807706012692015,0.40242312216600273,0.39531707382536296,Up,True
CCR2,C-C chemokine receptor type 2,-2.4048114121590913,21.685450937408962,19.28063952524987,0.013764976009702308,0.40242312216600273,0.39531707382536296,Down,True
CTSD,Cathepsin D,1.4350907338282823,22.57180699508753,24.006897728915813,0.014918136446867729,0.41190632300518115,0.3852015413157786,Up,True
CD36,Platelet glycoprotein 4,2.2979344101319263,30.052557714956965,32.35049212508889,0.020416728359302378,0.5142172743040184,0.2888533380220158,Up,True
CD68,Macrosialin,1.7246277635372564,20.357846261287648,22.082474024824904,0.02090121333260277,0.5142172743040184,0.2888533380220158,Up,True
MSR1,Macrophage scavenger receptor 1,-2.00337258079999,26.01406261177065,24.01069003097066,0.021727490463550072,0.5142172743040184,0.2888533380220158,Down,True
ITGB2,Integrin subunit beta 2 (CD18),1.9501686622553116,20.316538677452392,22.266707339707704,0.024449030439698958,0.5523258240241083,0.2578046508393641,Up,True
PROT_0147,Uncharacterized protein 147,-0.9218652599096657,17.482686433237784,16.56082117332812,0.03420409056896699,0.7391057831641998,0.13129339955277997,NS,False
PROT_0466,Uncharacterized protein 466,-3.9443189482639553,29.52091201806607,25.576593069802115,0.314937326733181,0.8160288439000867,0.08829449011225132,NS,False
PROT_0441,Uncharacterized protein 441,-0.26873148138915326,21.26273883318437,20.994007351795215,0.30068009468790224,0.8160288439000867,0.08829449011225132,NS,False
PROT_0442,Uncharacterized protein 442,4.656814968220257,22.29511719522553,26.951932163445786,0.23310687016383402,0.8160288439000867,0.08829449011225132,NS,False
PROT_0443,Uncharacterized protein 443,-4.626068060584341,26.657329120832955,22.031261060248614,0.1834483736609535,0.8160288439000867,0.08829449011225132,NS,False
PROT_0451,Uncharacterized protein 451,-2.1047490514192795,23.17696422393102,21.07221517251174,0.45023060097229195,0.8160288439000867,0.08829449011225132,NS,False
PROT_0005,Uncharacterized protein 5,0.8048386361155337,21.83986418215906,22.644702818274595,0.41182424598216477,0.8160288439000867,0.08829449011225132,NS,False
PROT_0006,Uncharacterized protein 6,-0.7550348186708113,23.985486226397654,23.230451407726843,0.21093062465300172,0.8160288439000867,0.08829449011225132,NS,False
PROT_0007,Uncharacterized protein 7,-1.021715965752989,23.145133690306608,22.12341772455362,0.4636363644274513,0.8160288439000867,0.08829449011225132,NS,False
PROT_0008,Uncharacterized protein 8,1.5452942126268496,21.186989448851076,22.732283661477926,0.25427482438863436,0.8160288439000867,0.08829449011225132,NS,False
PROT_0009,Uncharacterized protein 9,1.7145852517036744,23.3849976292127,25.099582880916376,0.4628841272404069,0.8160288439000867,0.08829449011225132,NS,False
PROT_0027,Uncharacterized protein 27,-0.22639773568472066,20.33335917788494,20.10696144220022,0.4690834403642791,0.8160288439000867,0.08829449011225132,NS,False
PROT_0467,Uncharacterized protein 467,-0.2810858335740001,23.116953772411534,22.835867938837534,0.3582128126590272,0.8160288439000867,0.08829449011225132,NS,False
CD80,T-lymphocyte activation antigen CD80,4.784031294970767,25.23333537900937,30.01736667398014,0.2320249697699929,0.8160288439000867,0.08829449011225132,NS,False
IL6,Interleukin-6,1.578853466337371,27.13710474492024,28.71595821125761,0.061590040618492686,0.8160288439000867,0.08829449011225132,NS,False
LAMP1,Lysosomal-associated membrane protein 1,3.1496680660188616,23.242188749187964,26.391856815206825,0.18382728806544132,0.8160288439000867,0.08829449011225132,NS,False
PROT_0452,Uncharacterized protein 452,-2.2446564474276443,25.83325467795512,23.588598230527477,0.4424400640135538,0.8160288439000867,0.08829449011225132,NS,False
PROT_0003,Uncharacterized protein 3,1.1729812340589412,20.500724018699113,21.673705252758054,0.11045221232558818,0.8160288439000867,0.08829449011225132,NS,False
PROT_0020,Uncharacterized protein 20,-2.672950418949231,27.060058284854108,24.387107865904877,0.4329874467491065,0.8160288439000867,0.08829449011225132,NS,False
PROT_0445,Uncharacterized protein 445,5.99141645110317,24.011908646365175,30.003325097468345,0.1818094211075043,0.8160288439000867,0.08829449011225132,NS,False
PROT_0024,Uncharacterized protein 24,0.7239543639172723,26.26567644378859,26.98963080770586,0.26592885965112384,0.8160288439000867,0.08829449011225132,NS,False
PROT_0025,Uncharacterized protein 25,-0.23268897494588714,22.892385432204822,22.659696457258935,0.3794778891279738,0.8160288439000867,0.08829449011225132,NS,False
PROT_0354,Uncharacterized protein 354,-3.413218273221908,28.70925443421495,25.296036160993044,0.40582967520082364,0.8160288439000867,0.08829449011225132,NS,False
C5AR1,Complement C5a receptor 1,0.9944299378036838,20.61038604004705,21.604815977850734,0.2696737328227517,0.8160288439000867,0.08829449011225132,NS,False
CXCR4,C-X-C chemokine receptor type 4,-1.4099835319207088,22.094087160445458,20.68410362852475,0.33388147663054474,0.8160288439000867,0.08829449011225132,NS,False
PROT_0455,Uncharacterized protein 455,-0.6107505591457887,25.019130627867998,24.40838006872221,0.23968322055213012,0.8160288439000867,0.08829449011225132,NS,False
PROT_0456,Uncharacterized protein 456,2.1288966861453815,26.003280000836284,28.132176686981666,0.4057863493151879,0.8160288439000867,0.08829449011225132,NS,False
PROT_0004,Uncharacterized protein 4,-2.835804793164609,27.088584328885446,24.252779535720837,0.41279444125241216,0.8160288439000867,0.08829449011225132,NS,False
PROT_0357,Uncharacterized protein 357,0.9940563407973784,21.287502824251586,22.281559165048964,0.45234280432266,0.8160288439000867,0.08829449011225132,NS,False
PROT_0460,Uncharacterized protein 460,-0.9588318547800263,26.811316341379097,25.85248448659907,0.084896931135458,0.8160288439000867,0.08829449011225132,NS,False
PROT_0463,Uncharacterized protein 463,0.3879517137986319,25.25128148197511,25.63923319577374,0.2760462140746412,0.8160288439000867,0.08829449011225132,NS,False
PROT_0464,Uncharacterized protein 464,3.121201466406557,24.58655066113637,27.70775212754293,0.30586304374181356,0.8160288439000867,0.08829449011225132,NS,False
PROT_0013,Uncharacterized protein 13,3.073874006668678,21.227386977926482,24.30126098459516,0.24768274789410039,0.8160288439000867,0.08829449011225132,NS,False
PROT_0055,Uncharacterized protein 55,2.499018318782152,23.577634442017878,26.07665276080003,0.4075559388660187,0.8160288439000867,0.08829449011225132,NS,False
PROT_0057,Uncharacterized protein 57,1.137836851139923,22.78486972164355,23.922706572783472,0.1514503605770345,0.8160288439000867,0.08829449011225132,NS,False
PROT_0058,Uncharacterized protein 58,1.894064837907326,22.634293115139997,24.528357953047323,0.3496770772434439,0.8160288439000867,0.08829449011225132,NS,False
PROT_0059,Uncharacterized protein 59,-2.206101500129545,26.614341722773116,24.40824022264357,0.31465663036436675,0.8160288439000867,0.08829449011225132,NS,False
PROT_0061,Uncharacterized protein 61,2.2556983678643334,23.181178429150986,25.43687679701532,0.4271432396102342,0.8160288439000867,0.08829449011225132,NS,False
PROT_0065,Uncharacterized protein 65,-2.6493843363527674,28.377612059839294,25.728227723486526,0.3621264981295117,0.8160288439000867,0.08829449011225132,NS,False
PROT_0028,Uncharacterized protein 28,-0.7215635701596845,25.502476789627917,24.780913219468232,0.05330708665861973,0.8160288439000867,0.08829449011225132,NS,False
PROT_0029,Uncharacterized protein 29,2.3464875000551793,23.478716079591123,25.825203579646303,0.4014785478695318,0.8160288439000867,0.08829449011225132,NS,False
PROT_0030,Uncharacterized protein 30,0.7507240184857871,21.360892970592896,22.111616989078684,0.30669538360801263,0.8160288439000867,0.08829449011225132,NS,False
PROT_0446,Uncharacterized protein 446,1.3204568721542387,20.725788505221818,22.046245377376056,0.37656965708664797,0.8160288439000867,0.08829449011225132,NS,False
PROT_0033,Uncharacterized protein 33,-0.9729180682920493,25.263110571162063,24.290192502870013,0.2278624041540794,0.8160288439000867,0.08829449011225132,NS,False
PROT_0034,Uncharacterized protein 34,1.2815570994420362,19.798839566412298,21.080396665854334,0.19317107930476404,0.8160288439000867,0.08829449011225132,NS,False
PROT_0035,Uncharacterized protein 35,0.6095715706792255,22.45735235684785,23.066923927527075,0.28865594420874513,0.8160288439000867,0.08829449011225132,NS,False
PROT_0036,Uncharacterized protein 36,-0.37054589650527703,25.287949887531294,24.917403991026017,0.32704625852877645,0.8160288439000867,0.08829449011225132,NS,False
PROT_0038,Uncharacterized protein 38,1.168285320838951,22.321579942737984,23.489865263576934,0.26689574490751755,0.8160288439000867,0.08829449011225132,NS,False
PROT_0039,Uncharacterized protein 39,5.034626402141974,22.904443005186057,27.93906940732803,0.24102003228335114,0.8160288439000867,0.08829449011225132,NS,False
